review,date_of_review
"We came as part of our included tour Game Drive and we opted for the optional extension at a steal $20USD per person which offered us 4-5 more hrs. Lunch was included and was delicious and simple.We had Andy as our guide who made the entire day one of the best drives.  Even though we didn't see a ton; we did get to walk in the bush to get close to a rhino, saw some other animals and the landscape was breathtaking.  The hike to the grave and native paintings were lovely and the overall day was memorable.I would recommend this park as it is beautiful and with a good guide like Andy will make it worthwhile.",2022-08-07
Unique one-off landscapes.,2021-08-17
"Yes, a MUST visit and one that further emphasizes Zimbabwe as an extraordinarily beautiful nation. Consider using Bonisa Excursions as listed here.",2022-05-14
Afternoon Visit,2021-04-30
"Came here as part of a visit to the local villages, to watch the sunset and see some esoteric cave paintings. Absolutely worth your time so do not skip this!",2016-03-07
Overnight in Matopos,2022-05-23
"A visit to Bulawayo Matopos national park is a great experience for someone needing peace and discover the African nature which provides a variety of bird species, trees, animals, reptiles and not forgetting the paintings, caves which are heavily beefed with so much history.",2014-12-11
"Hallo,

As you vcan imagine it is hard to get info about Matobo before you travel.

The Rhino walks you did was this with a National Park ranger? Where / how did you book? How long do they go for? Is there way you can book before hand, or do you need to wait until you arrive at Matobos. We are staying 2 nights in December at the National Parks Maleme Rest Camp. Are the walks in the morning or afternoon - what time do the start?? I am a bit surprised that they walks only cost  $20 - sounds cheap fro Zimanbawe.
What were your highlight of Matobos - game walks, caves, rock paintings, views, dams, swimming holes, picnic place etc
Regards
Kai
Magnetic Island Australia",2017-08-02
"Hi, kaiser6. What would you like to know about this attraction?
Id like to get more info about the Rhino trekking; the USD 20 sounds a great deal for 1/2 day. - is this done by Nat Parks or privately. Who do we contact. Are teenage kids allowed to participate?",2016-01-27
how much per person to enter,2017-12-10
"Hi, I am planning got visit Matobo and camp in September. We don't have a car so any ideas how we can get there from Bulawayo/ (We are getting a train to there from livingstone) Is there a bus we can get? Would we need a car to travel around the part or is there guided tours? Thanks in advance",2023-11-04
"Hello:

I am interested in visiting Matopo NP, and hope to stay in the Amalinda Lodge.   My questions are about the Rhino tracking for which the park is famous.  I hope someone can answer my questions:
1.  Are Rhino really prevalent in the park and fairy easy to find or is it just a marketing gimmick by them?
2.  I have read that the Rhinos are all de-horned and tagged for conservation reasons.  Is it true they are all de-horned?  Did you see any which are not de-horned?

Thanks

Thank You",2016-11-18
Which is the best campsite to stay in?,2018-03-03
"We are travelling to Zimbabwe in August 2015, we have hired a camper van and trying to find the best camp site to try to book in Matobo National Park, we are planning to stay for 2 nights, any suggestions?",2017-01-30
"Hi do not expect any game here unless at Crack of down say 6am you can see the Leopards 
They don't really have any other game was there today 8/9/18
the rock formations and the history is stunning,don't miss that
Dress up in sport wear there is a bit of walking here and there 
The top of grave site is extremely cold so anyone with cold allergy like me should have some shawls or scarf handy",2013-01-11
"Sorry for the late reply, somehow didn't get the notice before today. In case it is still interesting for someone: the rhino tracking is done by the Parks officials. We simply booked it the day before at the park reception. We were able to take our teenage kids (then 13 and 16). And it was well worth it, you could get really close to these animals, and it was very quiet and peaceful. Enjoy",2016-03-13
All info about entry on the website of zimparks,2023-10-09
"Sorry, no idea as a local friend brought me there ...",2017-07-02
"Apologies for the delay in answering this , I missed the email. I did not see rhinos on this trip as I was only in the park overnight and out the next morning. I was up at Rhodes grave scattering my mother's ashes.
I have however seen plenty of rhino in the park previously but not been there for some years. Your best bet is to actually phone/email the park and talk to them. Generally in all African parks now they do not like to give out too much information as to where their rhinos are as it is like a red flag to poachers who stop at nothing to get rhino horn.",2017-10-19
"Go to Motobo Hills Lodge! (Not sure you could get up the tracks with a camper an though?) It's absolutely stunning; high up with a near 360* view of the STUNNING scenery. Josh, the manager there, is wonderful; incredibly friendly and helpful and he tends to eat with the guests on the Veranda so you can grab loads of local history and info. Campfire often in the evening too! And really beautiful rooms with cheap rates. I'd also recommend tracking rhinos with Ian Harmer of African Wanderer Safaris - our days with him were the highlight of our whole trip.",2023-12-27
World Heritage Site,2015-09-08
"The Matobo National Park is a must for it’s totally unique, incredibly beautiful landscape of balancing rocks, ancient cave paintings and wildlife. I recommend staying at Maleme Rest Camp owned by Zim Parks. I have been visiting this amazing place since I was a small child in the 1970’s and I can safely say it’s one of the few places in the world that has not been ruined.",2018-10-10
Natural beauty at its best,2018-06-19
We had the afternoon to spare in Bulawayo so decided to take a drive out to Matopos.The rock formations are amazing . Leaves you wondering how this can be possible.Think the visit to Cecil John Rhodes tombstone should be included. Quite steep price.Another suggestion would be to be able to get a map of the area with distances and sites.Worth going.,2015-08-29
Just incredible,2019-12-21
"We travelled out to the Matopos on a mild Sunday morning.  A simple entry process and we were on our way around the trail to stop at the various places throughout the park.  I would definitely recommend stopping at the cave drawings, which is between 5 - 10 minutes walk off the track.  There's a nice craft market about half way and we also saw a range of local animals in the wild, including a white rhino being less than 100 metres off the track.  Finishing off at the Matabo Lodge was pleasant with an amazing view looking over the park.  The road is predominantly tarred with the last 5 - 6 kms unmade, which I would recommend taking your time on.  Take a photo of the map at the front gate so you know a bit more about what and where you're going.",2014-03-11
Never made it past the gate,2019-03-22
"My daughter was home from university and we took her out to Matopos for a family outing. When we arrived we were advised that there was no reception and could not pay with ecocash or swipe. National Parks suggested I drive back towards town and pay when I find reception, which I did, back in town. The banks do not issue cash, I am local and cannot get US$ and fuel is short, surely we should be allowed to pay on our way out? National Parks require full name, ID number, hone address, telephone number, vehicle registration number so it is not as if we cannot be located if we are unable to pay on the day.",2022-04-26
A must,2015-06-20
This is really a must if you visit the Southern part of Zimbabwe . In the park is the grave of Cecil Rhodes as well as opportunities to SEe wild life. It can Be visites with a sedan.,2019-01-09
Amazing,2014-12-10
"With a breath of fresh air mesmerising you as you reach fo the mountain top where the view is totally awesome, one can only enjoy the sight and marvel at the great work of creation. A place where one can only wish to return over and over again and literally touch the sky, this is the place to visit.",2016-02-19
Jordan the amazing guide,2015-10-30
"Wow, wow, wow, one of the best wildlife experiences of my life ... we got so close to a family of rhinos... just lucky!!! So fabulous thanks to Jordan Nel of African Wanderer.",2014-08-08
Beautiful place!,2013-12-29
"This place is sacred to the local people, and it’s easy to see why - it’s a very beautiful setting, huge boulders, gorgeous views.",2015-12-03
Rhodes grave and game park.Day trip self drive option.Picnic at Maleme.dam,2019-01-16
Incredible views.humbling.lucky day in the park.saw the rhinos.quite expensive as we had sadc visitors but was ok as we made an early start and spent the whole day in the park.,2022-09-11
The Bald Ones,2018-08-12
"Matobo Hills is a World Heritage Site where one will find spectacular granite rock formations, the burial site of the country's founder and on a great day, rhino!No visit to Bulawayo would be complete with including this National Park",2018-05-30
"The Matobo National Park is a must for it’s totally unique, incredibly beautiful landscape of balancing rocks, ancient cave paintings and wildlife. I recommend staying at Maleme Rest Camp owned by Zim Parks. I have been visiting this amazing place since I was a small child in the 1970’s and I can safely say it’s one of the few places in the world that has not been ruined.",2019-10-02
Natural beauty at its best,2013-01-31
We had the afternoon to spare in Bulawayo so decided to take a drive out to Matopos.The rock formations are amazing . Leaves you wondering how this can be possible.Think the visit to Cecil John Rhodes tombstone should be included. Quite steep price.Another suggestion would be to be able to get a map of the area with distances and sites.Worth going.,2022-07-10
Just incredible,2016-10-03
"We travelled out to the Matopos on a mild Sunday morning.  A simple entry process and we were on our way around the trail to stop at the various places throughout the park.  I would definitely recommend stopping at the cave drawings, which is between 5 - 10 minutes walk off the track.  There's a nice craft market about half way and we also saw a range of local animals in the wild, including a white rhino being less than 100 metres off the track.  Finishing off at the Matabo Lodge was pleasant with an amazing view looking over the park.  The road is predominantly tarred with the last 5 - 6 kms unmade, which I would recommend taking your time on.  Take a photo of the map at the front gate so you know a bit more about what and where you're going.",2017-08-31
Never made it past the gate,2017-07-20
"My daughter was home from university and we took her out to Matopos for a family outing. When we arrived we were advised that there was no reception and could not pay with ecocash or swipe. National Parks suggested I drive back towards town and pay when I find reception, which I did, back in town. The banks do not issue cash, I am local and cannot get US$ and fuel is short, surely we should be allowed to pay on our way out? National Parks require full name, ID number, hone address, telephone number, vehicle registration number so it is not as if we cannot be located if we are unable to pay on the day.",2019-06-14
A must,2015-03-29
This is really a must if you visit the Southern part of Zimbabwe . In the park is the grave of Cecil Rhodes as well as opportunities to SEe wild life. It can Be visites with a sedan.,2016-12-23
Amazing,2019-02-24
"With a breath of fresh air mesmerising you as you reach fo the mountain top where the view is totally awesome, one can only enjoy the sight and marvel at the great work of creation. A place where one can only wish to return over and over again and literally touch the sky, this is the place to visit.",2020-10-19
Jordan the amazing guide,2018-02-14
"Wow, wow, wow, one of the best wildlife experiences of my life ... we got so close to a family of rhinos... just lucky!!! So fabulous thanks to Jordan Nel of African Wanderer.",2020-08-07
Beautiful place!,2022-11-16
