review,date_of_review
"An older type luxury accomodation, very good location, everyone was very friendly and helpful.  Pools were good, buffet tea and breakfast was amazing with so much to choose from.  Would certainly recommend to everyone.",2021-09-08
"Nice rooms that are clean and spacious--very African-themed which is wonderful. Beautiful attention to detail in terms of decor and cleanliness.  A bit too ""disney"" or they're trying to be, especially with dressed-up greeter at entrance.",2023-05-21
"Great Location for Falls and shopping. Foyer was lovely. Room, however, was something else altogether. Old, small and dark with an uncomfortable bed. The very ancient, free standing, air conditioner did not work properly, and made so much noise, you could not hear anything else, it sounded like a bus! It also flooded my room at 2am! The very old shower recess was so small, I couldn't turn in it when washing my hair (and I am NOT large!). Staff tried very hard and were pleasant. Service in the restaurants was often slow and an order was often misunderstood. This hotel is very overpriced (as are most things in Victoria Falls, where they use the US$ on a par with their currency). Zimbabwe has no money, so all banks are closed and ATMs are empty. Prices are very inflated. I would not recommend this hotel.",2021-08-29
"Never been to Zimbabwe before so booked this hotel from the UK, based on Expedia reviews. My partner and I turned up and were amazed: fantastic hotel, attentive staff, relaxed feel and just 10 minutes' walk from the entrance to Victoria Falls. The hotel is used to visitors being picked up for daily activities (e.g. River Cruise, Chobe Day Trip) so have someone outside assisting everyone being picked up. (When there was a delay with the River Cruise company picking us up, the hotel put us in a taxi and got us to the cruise moments before it left!). If I ever head back to Vic Falls, I'd book straight into The Kingdom again.",2018-03-12
Everything was nice and it is at a convenient place. Close to the falls which is a nice short walk,2022-06-13
Beautiful hotel.  It is beginning to need some updates but it is still a fabulous place.  I highly recommend it.,2018-03-27
Very friendly and helpful staff. The food in both restaurants was good and plenty of it.,2022-08-28
Perfect location... near everything...hard to find a better place in vic falls.,2022-08-17
"The hotel is expensive for the accommodation and meals. The area doesn’t appear safe. They have security guards however I was there when they guard took a break and immediately I was approached by a member of the public trying to sell me worthless Zimbabwe dollars for US$5 I refused but he followed me into the hotel near reception standing in front of me. I again refused and he said he will kill me, thankfully the tour guide I was waiting for saved me and told him off and told me to quickly go into the hotel. The tour guide said the hotel should have security at all times here. The hotel grounds are nice but they tried to  charge me breakfast when it clearly states it’s included. Close to the falls which is good",2015-09-15
Nice comfortable large hotel within easy walking distance to Victoria Falls. Very nice landscaping. Very distinct “Africa “ appeal. The dinner buffet at the hotel was very good as well as the complimentary breakfast. Friendly staff. Make sure you visit the native crafts market just one block away. Elephants wander around the walking trails right next to the hotel. Only negative was the very pushy locals trying to get you to buy the stuff they are selling.,2014-11-27
"Good location, good selection for breakfast although repetitive menu, friendly staff and near everything (walkable).  Our group went there for the marathon.  It is very convenient as the hotel is located at the start and the expo is at the hotel.  The hotel even have the list of tour operators that our group booked so that they could coordinate with the tour operators for pickup.  The rooms are a bit dated but functional.",2020-03-03
"I love this hotel, which has the most gracious staff and is such an excellent location for eateries and things to do around Victoria Falls. The added benefit is you get to see the occasional warthog on the premises! Just a first rate location, with all the amenities.",2020-06-28
"This was my second stay at this hotel and enjoyed it both times.
The only complaint I have is the evening meals at the hotel restaurant. They are expensive and the food is not good. We found this true both visits. Breakfast is very good and included in the room price, it is only the evening meals that are lacking, but don't let that keep you from booking as there are food places in the casino area that are OK.",2021-07-18
"An excellent hotel in the heart of Victoria Falls,;walking distance to the bridge over the falls; excellent service( unlike anything we are used to in North America) ; friendly and kind staff , in all regards.",2014-01-15
"I highly recommend The Kingdom....the service was exceptional( truly exceptional) , the hotel felt like an oasis for me between safaris.",2017-01-16
"This hotel is in the best location, so central to everything that you can do in Victoria Falls. The Staff were amazing so friendly, the room is very clean and i would highly recommended booking the activities with the adventure center in the hotel the staff were very friendly.",2015-03-13
There are not a lot of choices in and around Victoria Falls.  This is a good one and reasonably priced.  The region is very touristy with local hagglers practically attacking you to buy things on the street.  Local police should be more vigilant in keeping these people away from you as you try to shop with the legit businesses.,2018-04-10
"We could not have had a better time, thanks!",2018-07-20
Best location to visit Victoria falls (walking distance). Very pleasant people and safe to walk around.,2015-05-03
My wife and I stayed here for 4 nights while on holiday.  Nice accommodations close to the falls.,2017-05-06
The GM addressed our concerns immediately. Allowed us to exchange rooms. Great customer service. We really appreciated it.,2020-06-06
"If  you want to enjoy Victoria Falls in a safe, convenient, well cared for environment, The Kingdom is a great place to stay.  It isn't ""fancy"" but it's really nice and the staff are wonderful.  It's very clean and feels more like home.  Beds are really firm so that made it less comfy that we would have liked.  Other than that, we were really pleased!",2015-09-27
The hotel was great!  Only a short walk to Viictoria Falls!  The food was excellent at the main dining room and by pool side!  Would highly recommend to others!,2018-03-16
I loved the location of this lovely hotel and enjoyed the friendliness of all the staff. I highly recommend staying here when visiting Victoria Falls.,2022-05-24
"The room was airy, though being in Black B, difficult to reach with a suitcase with lots of stairs both up and down. By foot we managed to work out  better route to both the restaurant, and the reception area.  There was also a back gate leading to a path down to the falls. The buffet breakfast was vast selection and the waiters very helpful.",2023-04-23
"Hotel is nice. Friendly staff. Rooms are basic but very clean and convenient. They have nice balconies, sometimes with monkeys on it :-), which is a nice experience.

Bar area, where  you can also have lunch is very nice and with very friendly staff. The pool is beautiful.
Breakfast is ok, for dinner there other better place in the area I think.

I would definitly recommend the hotel. Just keep in mind it has about 300 rooms so it not very personal and has a lot of tour groups.",2017-10-09
The service was very good but the place was extremely noisy... you could here every person walking past your door (especially at 3am). But the kids loved it!,2014-07-13
"we loved our stay in spite of Zimbabwe inventing the cashless society:-)
the hotel was beautifull and comfortable and the staff from reception to the man who looks after the pool could not have been more helpfull and cheerfull
A realy memorable stay. Owen the pool man was brilliant!!",2014-10-02
"A very large hotel, can feel a little impersonal however excellent breakfast, ok rooms, lovely pool. The shower over the bath is a negative. It’s in a good locality within walking distance of the falls and the town’s facilities.",2016-09-01
"Desite the opening in 1999, the Kingdom looks much older and is below what you would expect from a 4 star hotel. 

The buffet is not kept warm and it varies very little from one day to another. The room and th bathroom are not very clean, but the pool is kept in perfect shape by dedicated staffs. the cocktails are not good, I would not recommend spending the 8-10 USSD they cost.

Do not use the expedia chat to book your transfer, as despite our confirmation nobody came to pick us up at arrival.",2020-10-29
"The hotel employees are very helpful and helped me by suggesting my activities. I must admit, flawless hospitality. The back gate of the hotel leads you to a very nice cafe with a view of the Victoria Falls Bridge and gorge. Love it!!",2017-06-07
"Excellent hotel with good facilities. Food very good. Very close to the Falls. 
A brilliant visit",2019-07-25
"Ideal location (a few minutes walk from the Falls), with comfortable rooms and very courteous helpful staff.  Good WiFi available and lovely swimming pool for daytime relaxation.  Highly recommend a stay here.  Just beware the baboons - and shut your balcony door!",2021-07-24
"The hotel was beautiful.  The problem was calling the hotel to request airport pickup. The number listed in Hotels.com is incorrect.  Took me 4 days to finally get through with the help of Hotels.com. very Very, very frustrating.  Hotel refused to comp my return airport shuttle. I feel I should have been comp'd because I spent too much money on phone calls from the USA and abroad. Please correct this error.",2019-04-14
"The Kingdom is huge and impressive, but very few were staying there when we stayed. Strangely for such a hotel, there was only one choice for dinner ant that was a very substantial buffet. Good rooms and staff.",2018-04-06
"Excelent! I want to thanks the personal of the hotel. They help us to found our lost bags at the airport and were very nice. Good and confort hotel, good breakfast",2021-03-29
Position in Vic Falls was very convenient to everything. Hotel staff were friendly and helpful. The bed was very comfortable in the room but the bathroom was very dark and needs proper lighting over the mirror.  Overall a great place to stay when hotel is not at full capacity.,2023-10-22
The hospitality we received from arrival until we left made our holiday a memorable.,2014-06-27
"Great hotel, definitely better than rated.  I would glass this hotel as a high 4 star.  The hotel is located in the centre of where you need to be with walking distance to shops, bars and of course the falls itself.",2015-12-24
Just amazing.  The hotel is amazing.  Staff can't do enough for you.  Breakfast excellent everything you can think of.  Very close the Victoria Falls 5 minutes walk.  Look out cafe 5 minutes away.  Will definitely stay again.,2017-07-16
"All good. Lovely rooms, cleaned daily. Meals were also very good - including the lunches around the pool. great value for money. Close to the town centre so convenient quick walk to get to shops etc. Family had a good stay. Only dissapointment was having to pay extra for meals for my daughter as this was not included in the family rate.",2022-04-07
"The hotel was divine, would definitely come back",2019-02-04
"Amazing staff and service with great facilities 
Bathroom a bit dated and aircon very noisy but kept us cool.",2015-07-08
"Excellent holiday.  Friendly staff. Beautiful hotel and surroundings.
Will definately come back.",2017-07-21
We received a warm African welcome and check-in was quick. Our room was as depicted in the pictures. We especially loved the variety at breakfast.,2014-02-23
Amazing experience seeing the falls and having a dinncer cruise,2023-07-23
"Great hotel with a wonderful atmosphere & scenic grounds. Stay was spoiled by 1 factor: not able to amend a booking yet free cancellation/change was available online. We have been using Hotels.com for 5 years now because of the flexibility offered. This is the 1st time that we have not been able to amend a booking in the 5 years. We originally booked to stay for 3 nights from 30th Dec to 2nd Jan. Our travel dates changed to 29th Dec to 1st Jan, still 3 nights and we booked the extra night of the 29th separately to secure at such a busy time. When it came to amending the original booking (within the free change deadline) to check out on the 1st instead of the 2nd of Jan, hence maintaining 3 nights stay, both Expedia/Hotels.com and ourselves where advised to 1st cancel the initial booking then re-book the new dates. But availability could not be guaranteed even if we re-booked within a minute of cancelling. We tried to change on arrival at the hotel and were told to contact Expedia - same story. So, in effect we stayed for 3 nights but paid for 4 after travelling all the way from Maputo to enjoy the carnival although for some reason our reservation at the Kingdom reflected a check out date of the 1st and my online confirmation still reflected the 2nd. Strange. A blot on an otherwise fantastic time in Vic Falls. Luckily, Expedia stepped in and provided us with a voucher to cover part of the loss but in the end there was a R500.00 shortfall.",2020-04-10
"This is like a Vegas/ Disneyland hotel, there isn’t anything special about this place. Buffet was $35.00 a person and it was mediocre. 
Look for something more authentic instead.",2017-03-01
Enjoyed a lot of activities and the hotel is very scenic.,2015-08-03
Everything was good the only thing the a.c didn't work well but so far so good,2017-06-25
"I stayed there two nights. The hotel is huge.  The staff was nice and helpful.  The breakfast has a great variety.  The room condition was adequate.  The first room I was given had a faulty safe, so I was moved to another room.  This was fine except the refrigerator in the new room was practically impossible to open because of the cabinet it was in.  The opening of the door was blocked by the other things that surrounded it.  Other than that, I had a lovely stay and would recommend to others.",2016-04-29
"Stayed here for 4 nights, very convenient to all sights and shops, staff were excellent, very friendly and helpful, Breakfast was good, large choice. Great pool area. If I had one thing that could be better it would be the beds, very hard, but as for everything else we had a great time.",2022-09-08
"Perfect location, walking distance to all the attractions I went. I easily walked to the falls, lookout cafe, Hi Tea at Victoria Falls Hotel next door and the Victoria Falls Bridge crossing over to Zambia.",2017-09-12
All aspects good but requires a bit of maintenance in the rooms amf bathrooms.,2015-06-11
We only stayed at The Kingdom for one night.  It was very pleasant stay. The service was excellent.,2023-07-30
"The hotel itself was in a great location within walking distance to the Falls,  brewery and restaurants. The room was fine. My first opinion was not the best especially since it was the last part of our honeymoon. Our room wasn’t ready right away. They told us it wouldn’t be a long wait for our room to be ready. They quoted me 15 minutes. 45 minutes later our room was finally ready. It was extremely hot that day so we unfortunately sat in the hot lobby waiting for our room to be available. Our stay in Victoria Falls was such a short stay with pre planned excursions so we had limited time to sight see. It was unfortunate we had to spend some of that available sight seeing time waiting for our room to be available. The excursion staff inside the hotel were delightful, kind, informative and helpful.",2021-04-20
Sensational location but take plenty US cash small bill as nowhere there to get any,2020-01-05
"There was hair in our food, when we wanted to called a manager we were ignored. Later the chef came out who was very friendly. Manager at restaurant is arrogant and unprofessional. There was no mosquito nets in the room and the stagnant water just outside our room was a huge breeding ground for them.",2018-01-30
Quick 2 night stay and enjoyed the facilities of the resort. The Victoria Falls are amazing and a wonderful experience to view its beauty. Only problem is hawkers once you leave for a stroll to shops....very persistent and hard to make them go away. Otherwise a wonderful time.,2014-12-01
"We had a 3 night stay here. The hotel was nice and staff were friendly and helpful.  The room was good enough, although some of the furniture looked a little worn. We ate breakfast here daily and the selection was good, as was the quality. We ate lunch here on occasion, a small menu and our meals sometimes arrived so much later than the other that the first had almost finished eating, although the lunch was always tasty.",2015-04-30
The Kingdom is a great hotel for anyone visiting Vic Falls and wanting comfort and luxury - the pool and open dining are great the constant noise of helicopters is a bit of annoyance but that’s the price you pay for the popularity of the Falls. The hotel has an excellent “back gate” that we used several times to see the river and falls from the lookout cafe (even saw game on the path to cafe),2018-05-31
Hotel was very nice.  Great location for easy walking to the entrance of the National Park for the Falls.  Staff was friendly and food was good.,2016-06-23
"This resort hotel kept providing me with excellent service and very unique architectural style of hotel reflected with local culture. Every staffs were kind and made me comfy. However Wifi system was so slow and unstable, and swimming pool was rather small comparing as the size of hotel.",2015-07-02
The location is good as you can easily walk to the falls.  It's a nice place that might actually be trying too hard.  The room was fine but the sliding door to the balcony had a gap to the outside even when it was closed.  There were a lot of mosquitoes in our room - that was our major complaint.  The staff was pretty helpful even though errors were made in both our airport pick up and drop off - they tried to make it right.  The pool is nice.  Eat dinner down the street at the Victoria Fall Hotel ... it was delicious!!!,2014-11-20
"Location of hotel is very near Victoria Falls (VF).  According to hotel staff who briefed us, the hotel is only 10 minutes walking distance to VF.   It is also within 3-5minutes walking distance to town centre and local shopping area. 

PROS:
(1) Central Location
(2) Great Buffet Breakfast

CONS:
(1) Mosquitos in room, just make sure you use the mosquito net provided to cover the bed and make sure that none of your body parts is near the mosquito net or you'll still end up with mosquito bites.",2022-12-24
"Staff was great and friendly.  Very good location and easy to find, however the hotel needs updated and the large water feature throughout the hotel likely contributes to the mosquito population that comes out at night.  The water was stagnant and landscaping needed attention....it was not appealing to the eye.  The rooms are old and our bathroom door wouldn't close all the way.",2017-08-07
"The public areas are good. However, the rooms are very dated. The staff are very formal and not too friendly. On the first night we had a buffet dinner at $US25pp. I felt it was overpriced and the quality was very average. Overall i felt given the condition of the rooms and the quality of service and food,  i think the hotel did not represent good value.",2015-06-11
Great place to base yourself.Close to Falls .village.and Lookout Cafe..good buffet breakfast. Staff very helpful .room clean and spacious..good value for money.,2017-05-20
"We spent two nights at The Kingdom. Location was great. Within walking distance to Victoria Falls and the Zambia boarder. Breakfast Buffett was included and was great. There was an excellent variety of food. We ate at the bar area by the pool for one of our meals. It was excellent. There is a desk in the hotel for booking tours and activities.  They were great to work with. The hotel staff was friendly.
Overall an excellent time.",2021-06-27
"this is old big hotel.
food is ok but room is not clean.
But location is very close from falls.",2017-02-06
Stayed here at end of a trip because wanted to luxury.  Staff very friendly and helpful. I think I was upgraded as had a nice second floor room with balcony facing the swimming pool which is in the centre of the complex.,2020-06-08
"Nice hotel for the price, clean overall the facilities are a little tired, breakfasts were good and dinners just adequate.",2020-05-01
As Victoria Falls is an isolated tourist bubble it is perhaps inevitable that hotels appear like sausage factories in the way they process guests. This hotel has a good location but is constantly filled with large tor groups and their themed dinner evenings. The hotel has absolutely no soundproofing,2020-05-19
"Great hotel. Nothing to criticise. Clean, well presented, lovely staff, great rooms, good food. My only tip to Vic Falls is bring your US dollars. The ATMs are all empty always....",2021-09-23
"Beautiful traditional African style hotel in close proximity to the Falls, good restaurants and amenities. The Kingdom has a great central location, staff are lovely, helpful and kind. Lovely clean room and in-house restaurant is excellent. There is a lot of activities to do, I recommend the river dinner cruise which was excellent with great entertainment. The family room was well suited to our need with a spacious double bed and a bunk bed for the kids. Our room was quiet and private with no disturbance from other guests. I thoroughly enjoyed my stay and I will definitely come back again.",2019-08-04
Super close to VA falls but have seen better hotels,2022-11-07
"The Kingdom has excellent choice for breakfast,comfortable rooms with well kept gardens.  The pool is popular with lounges to sir on if you don't want to swim.    The staff are all friendly.                                                                                                                                                                                                                                                                                                                                                                                                                           Within walking distance to the falls and some good restaurants   The Lookout Cafe is well worth a visit for the view also good meals served there fore lunch and  Dinner .   Friendly staff.   We were there 5 days",2021-01-11
"My wife and I stayed for a weekend in August. Check in was smooth and easy with a welcome drink. The room was clean and spacious with views of the garden. Breakfast was good, service was great. Can book tours directly with the hotel.",2022-07-12
"When I looked at the pictures of this hotel I thought it would be ok, when we arrived I was pleasantly surprised. The Kingdom Hotel was much nicer than we had expected. Great value for money, great food, great service, closest location to walk to Vic Falls and to the shops down the street.",2023-07-23
"All fine... bit disneyesque for our liking. Staff lovely, service good, location great. We got a very cheap deal so cant complain on value for us .. we only wanted one night. Depends on what you want.. felt it was appealing to an American market.",2020-02-12
"only stayed for 1 night. room large, clean & comfortable. Staff friendly & helpful. Could do with a small bar inside, the night we were there it was cold sitting outside at the Bar. We did not want the buffet dinner in the restaurant but something light to eat. After discussing with restaurant manageress we were able to order one course from a la carte menu.  Lovely gardens & surrounds & in general Vic Falls town very clean.",2022-07-15
Please consider putting mats under the dressing table stools as they get dragged across the floor making very loud noises interrupting sleep.,2021-09-28
"Excellent location . The staff was very friendly, courteous. The food excellent. The swimming pool little green , nice warm water. The rooms were above expectations. Easy access to the Victoria Fall , Outlook deck , KFC chicken , strip mall , village market and fine restaurants . Only problem was smoking at the entrance and outside the main dinner hall. Highly recommend to the first timers",2015-08-04
"Room was fine for our family and had everything we needed. Porters were great and very helpful on a few occasions.  Only minor gripe would be 2 bathroom size towels, 1 pair of slippers, 1 sachet of coffee in the room for a family of 4 on arrival and or each day.  Having said that the staff were responsive when we asked for more.",2022-03-02
As close to the Falls as you can get on the Zimbabwean (best) side. It's a wonderful hotel.,2018-03-25
Awesome trip. Love the walking path to the falls. It was so convenient.,2018-11-05
"This was the perfect place for our 3 generational family to stay. It is within easy walking distance to the National Park, restaurants and shops. Rooms were clean and comfortable. Great buffet breakfast.",2020-07-31
"We enjoyed our stay here.  The rooms are clean and well furnished.  The breakfast buffet (included with our room) was very good with a variety of choices to appeal to all appetites.  It is a short walk to Victoria Falls, restaraunts, and shopping.  We would definitely stay here again!",2016-09-30
"The bed was quite firm so we didn't sleep so well. There was also some kind of audible vibration going constantly. It was louder in the bathroom than bedroom so it didn't interfere with sleeping but it was a bit annoying at times. It didn't ruin our stay or anything. It's just something they either should fix or warn people about.

Otherwise, the staff was incredibly friendly and the location was excellent!",2022-07-29
Great for a short stay (ours 24hrs). Closest hotel access to the Falls.  Security staff great walked us to the falls due a buffalo in the area downside bed old and very hard could feel the springs. Great shower very strong Grounds were beautiful,2014-11-09
"The hotel is located very close to VF entrance. Staff are very friendly, always accommodating your wishes. Premises are great. Breakfast is outstanding. Dinner buffet is a bit bland, but hey, you are not at VF for culinary experiences? 

Only area of improvement I would recommend is lighting in the guest rooms, they are really dim.",2017-07-29
"The hotel has a wonderful feel and a beautiful setting. It's right in town and you can walk to restaurants, shopping and to the falls. The room was nice buts needs a little updating and I found the bed to be hard. Service was great and everyone is very friendly. Would highly recommend this hotel.",2015-05-25
The staf were wonderful. The wifi was slow but great place and perfect location.,2020-07-31
Very spacious room and lobby. Staff were helpful. Nice ambience. Restaurant in grounds was reasonably priced. Souvenir store and tour agency in lobby add to convenience.,2021-01-23
